12:00,75,75,100,0,mph,mph,in,in,Cloudy
12:30,75,73,94,WNW,1,0,29.76,0.0,Partly
1:00,75,73,94,W,2,0,29.76,0.0,Partly
1:30,75,73,94,WNW,3,0,29.76,0.0,Partly
2:00,73,73,100,WNW,1,0,29.76,0.0,Partly
2:30,73,73,100,CALM,0,0,29.76,0.0,Partly
3:00,73,73,100,NNW,2,0,29.76,0.0,Partly
3:30,73,73,100,NNW,2,0,29.76,0.0,Partly
4:00,73,73,100,VAR,2,0,29.76,0.0,Partly
4:30,73,73,100,CALM,0,0,29.76,0.0,Partly
5:00,73,73,100,NNE,1,0,29.76,0.0,Partly
5:30,73,73,100,NNE,1,0,29.76,0.0,Fair
6:00,75,73,94,NNE,2,0,29.79,0.0,Fair
6:30,77,75,94,VAR,2,0,29.79,0.0,Fair
7:00,79,75,89,NE,3,0,29.79,0.0,Fair
7:30,81,75,84,VAR,3,0,29.82,0.0,Fair
8:00,82,75,79,VAR,1,0,29.82,0.0,Fair
8:30,84,73,70,VAR,2,0,29.82,0.0,Fair
9:00,88,75,66,SSE,5,0,29.82,0.0,Fair
9:30,88,75,66,VAR,3,0,29.82,0.0,Partly
10:00,90,75,62,VAR,3,0,29.79,0.0,Partly
10:30,90,75,62,VAR,3,0,29.79,0.0,Partly
11:00,90,75,62,VAR,2,0,29.79,0.0,Partly
11:30,91,75,59,SW,8,0,29.79,0.0,Mostly
12:00,90,75,62,WSW,5,0,29.79,0.0,Partly
12:30,90,75,62,SSW,5,0,29.76,0.0,Partly
1:00,91,73,55,SW,8,0,29.76,0.0,Partly
1:30,93,73,52,WSW,7,0,29.73,0.0,Partly
2:00,93,73,52,SSW,8,0,29.73,0.0,Partly
2:30,93,72,49,S,5,0,29.70,0.0,Partly
3:00,90,73,59,NE,8,0,29.70,0.0,Partly
3:30,88,75,66,S,10,0,29.67,0.0,Partly
4:00,81,73,79,WNW,12,0,29.70,0.0,Partly
4:30,81,73,79,W,5,0,29.70,0.0,Partly
5:00,82,75,79,S,5,0,29.70,0.0,Partly
5:30,84,75,74,S,10,0,29.70,0.0,Partly
6:00,84,75,74,S,10,0,29.70,0.0,Mostly
7:00,82,73,74,S,8,0,29.70,0.0,Mostly
7:30,82,75,79,SSW,8,0,29.73,0.0,Partly
8:00,81,75,84,SSW,6,0,29.73,0.0,Partly
8:30,81,75,84,W,6,0,29.73,0.0,Partly
9:00,79,77,94,W,3,0,29.76,0.0,Partly
10:00,79,77,94,W,5,0,29.79,0.0,Partly
10:30,79,77,94,WSW,3,0,29.79,0.0,Partly
11:00,79,75,89,WSW,5,0,29.79,0.0,Partly
11:30,79,75,89,WSW,5,0,29.79,0.0,Fair
